縣市,特教班特教,特教班一般,特教班代理,特教班小計,資源班特教,資源班一般,資源班代理,資源班小計,數理班特教,數理班一般,數理班代理,數理班小計,語文班特教,語文班一般,語文班代理,語文班小計,舞蹈班特教,舞蹈班一般,舞蹈班代理,舞蹈班小計,音樂班特教,音樂班一般,音樂班代理,音樂班小計,美術班特教,美術班一般,美術班代理,美術班小計,總計,
宜蘭縣,16,0,1,17,10,0,1,11,0,15,0,15,0,7,0,7,0,4,0,4,0,2,0,2,0,5,0,5,61,
基隆市,14,0,1,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,21,
臺北市,0,0,0,0,3,0,0,3,0,10,0,10,0,1,0,1,0,0,0,0,2,2,0,4,0,5,0,5,23,
新北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園市,37,0,2,39,9,1,0,10,0,3,0,3,0,1,0,1,2,0,0,2,0,4,0,4,0,8,0,8,67,
新竹市,12,0,0,12,3,0,1,4,2,43,2,47,0,32,0,32,0,0,0,0,0,12,0,12,1,10,0,11,118,
新竹縣,11,0,0,11,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,
苗栗縣,12,0,1,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,20,
臺中市,70,0,5,75,20,0,0,20,0,14,0,14,0,13,0,13,2,0,0,2,0,7,1,8,0,9,0,9,141,
南投縣,25,0,5,30,6,0,0,6,0,3,0,3,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,49,
彰化縣,46,0,2,48,11,0,2,13,0,6,0,6,0,6,0,6,0,0,0,0,1,4,0,5,1,3,0,4,82,
雲林縣,16,0,0,16,3,0,1,4,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,42,
嘉義市,12,0,0,12,3,0,0,3,0,12,0,12,0,13,0,13,1,8,0,9,0,7,0,7,0,6,0,6,62,
嘉義縣,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
臺南市,39,1,1,41,20,0,0,20,0,14,0,14,1,10,0,11,3,1,0,4,0,11,0,11,4,6,0,10,111,
高雄市,12,0,0,12,4,0,0,4,0,9,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,33,
屏東縣,22,0,6,28,5,0,2,7,0,24,0,24,1,11,0,12,0,0,0,0,0,13,0,13,1,8,0,9,93,
臺東縣,11,0,1,12,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,17,
花蓮縣,13,1,1,15,2,1,1,4,0,17,0,17,0,8,0,8,0,0,0,0,0,3,0,3,0,9,0,9,56,
澎湖縣,9,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,0,4,18,
金門縣,4,0,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
連江縣,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
總計,387,2,28,417,110,2,9,121,2,189,2,193,2,105,0,107,9,13,0,22,4,75,2,81,11,90,1,102,"1,043",
